UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,RUL_synthetic,power,S_PWF_soft,S_PWF_hard,S_HDF,S_OSF,S_TWF_extra,S_RNF,RUL_base
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,172.30947650659326,6097.339157768725,0.0,0.0,0.0,0.0,5.0304303017551214e-05,0.0,170.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,162.91379933992377,4540.784717670103,0.0,0.0,0.0,0.0,6.790358698095123e-05,0.0,167.0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,166.5601260699411,6175.114519896098,0.0,0.0,0.0,0.0,8.293750373891589e-05,0.0,165.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,161.9230518636837,4665.327922433915,0.0,0.0,0.0,0.0,0.00010129990980873922,0.0,163.0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,156.82844425772888,6660.574360679816,0.0,0.0,0.0,0.0,0.0001670142184809518,0.0,158.0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,166.2742231969737,5336.445417069278,0.0,0.0,0.0,0.0,0.0002039908727992137,0.0,156.0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,143.83680898112542,6758.592051471818,0.0,0.0,0.026596993576867015,0.0,0.00024915388939429883,0.0,154.0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,145.0926661626912,4801.296052481282,0.0,0.0,0.0,0.0,0.0003363196403867117,0.0,151.0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,158.89038053748908,7177.251160464705,0.0,0.0,0.0,0.0,0.0004107786776476327,0.0,149.0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,142.44821238952642,5666.647748912589,0.0,0.0,0.0,0.0,0.000501721646837642,0.0,147.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,137.0877153021534,5665.056008634771,0.0,0.0,0.0,0.0,0.0006127973961660237,0.0,145.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,139.82760066006827,7389.7799034800555,0.0,0.0,0.0,0.0,0.0008271722285166639,0.0,142.0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,148.55202622358672,6076.122935381484,0.0,0.0,0.0,0.0,0.0011165334062956276,0.0,139.0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,134.6119083219143,5907.115722593864,0.0,0.0,0.0,0.0,0.001507103580597574,0.0,136.0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,133.37504487116377,7321.51309511755,0.0,0.0,0.03229546469844978,0.0,0.00184071904963424,0.0,134.0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,126.93169495618451,7422.0126441058865,0.0,0.0,0.03229546469844978,0.0,0.0030344703002891916,0.0,129.0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,120.7334551721981,6475.325113873137,0.0,0.0,0.03229546469844978,0.0,0.0037060614062639653,0.0,127.0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,131.70119756618558,7277.436550187683,0.0,0.0,0.03229546469844978,0.0,0.00452622223240535,0.0,125.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,127.49553948564485,7033.900287681403,0.0,0.0,0.03229546469844978,0.0,0.005527786369235996,0.0,123.0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,125.69376841140179,6968.261945172401,0.0,0.0,0.026596993576867015,0.0,0.00746028833836697,0.0,120.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,117.36957649979749,7322.00527796661,0.0,0.0,0.0,0.0,0.0122939862127742,0.0,115.0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,111.96029623227192,7656.050824822813,0.0,0.0,0.0,0.0,0.016588010801744213,0.0,112.0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,115.41194545987875,4979.36152408675,0.0,0.0,0.0,0.0,0.020253203890498818,0.0,110.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,98.36920723657359,6875.207970773071,0.0,0.0,0.0,0.0,0.02731960763011059,0.0,107.0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,106.71790163935914,8043.2625913532665,0.0,0.0,0.0,0.0,0.03334807307413344,0.0,105.0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,97.98495735167994,6520.815375497119,0.0,0.0,0.0,0.0,0.05486298899450404,0.0,100.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0.0,1378.1748092277942,4.243650381544412,216.0,0.0,0.0,0.07391541344281971,0.0,97.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,92.98220959252629,7951.025431043872,0.0,0.0,0.0,0.0,0.09013298652847822,0.0,95.0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,83.90305782679138,6866.327735538923,0.0,0.0,0.0,0.0,0.1098694263059318,0.0,93.0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,82.36427279143366,5752.41322835559,0.0,0.0,0.0,0.0,0.1798620996209156,0.0,88.0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,87.55701522525516,5330.141287811076,0.0,0.0,0.0,0.0,0.21881270936130465,0.0,86.0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,93.89312619098916,6444.286178455672,0.0,0.0,0.0,0.0,0.26596993576865857,0.0,84.0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,88.62601926217616,6558.053720417668,0.0,0.0,0.0,0.0,0.32295464698450493,0.0,82.0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,74.61476555205378,6385.171876690622,0.0,0.0,0.0,0.0,0.3916572279676436,0.0,80.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,68.3054260825542,5131.215640985769,0.0,0.0,0.0,0.0,0.4742587317756678,0.0,78.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,73.28634519726647,7850.127946986078,0.0,0.0,0.03229546469844978,0.0,0.6297335605699649,0.0,75.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,68.92185041699571,7673.004953176688,0.0,0.0,0.0,0.0,0.7585818002124355,0.0,73.0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,69.28104981616868,6368.469075749038,0.0,0.0,0.0,0.0,0.9112296101485612,0.0,71.0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,70.79286667854318,4386.092695407342,0.0,0.0,0.0,0.0,1.1920292202211755,0.0,68.0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,64.10112924711049,4914.581883569729,0.0,0.0,0.0,0.0,1.4185106490048778,0.0,66.0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,56.36910698767137,6156.244020023535,0.0,0.0,0.0,0.0,1.8242552380635635,0.0,63.0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,59.320646216178645,6583.668172519938,0.0,0.0,0.0,0.0,2.141650169574414,0.0,61.0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,53.481427518256226,5046.162255877581,0.0,0.0,0.0,0.0,2.4973989440488236,0.0,59.0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,51.50029022624962,6770.195000339076,0.0,0.0,0.0,0.0,3.1002551887238754,0.0,56.0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,41.993654327683565,5180.988940594142,0.0,0.0,0.0,0.0,4.25557483188341,0.0,51.0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0.0,9700.923955019924,0.7009239550199236,216.0,0.0,0.7743500000000003,4.7502081252106,0.0,49.0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,45.97479403966651,4553.4662800150945,0.0,0.0,0.0,0.0,5.2497918747894,0.0,47.0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,28.998437076615993,6918.415341735443,0.0,0.0,0.0,0.0,5.98687660112452,0.0,44.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,38.69519226938576,6365.243707291352,0.0,0.0,0.03916572279676091,0.0,6.456563062257954,0.0,42.0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,36.15006172705101,5834.984755267443,0.0,0.0,0.0,0.0,6.8997448112761255,0.0,40.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,21.234511414979806,5415.299392674381,0.0,0.0,0.0,0.0,7.310585786300049,0.0,38.0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,22.65283306379497,6743.878925877506,0.0,0.0,0.047425873177569834,0.0,7.685247834990178,0.0,36.0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,19.78703136689149,7328.487430808518,0.0,0.0,0.0,0.0,8.021838885585819,0.0,34.0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,23.14902801381278,6292.767164773035,0.0,0.0,0.0,0.0,8.320183851339245,0.0,32.0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,235.36504796940542,7539.508209350145,0.0,0.0,0.0,0.0,4.587181725605271e-08,0.0,240.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,235.41478786734035,5564.367964087218,0.0,0.0,0.0,0.0,5.6027964061459406e-08,0.0,238.0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,240.0,7550.870302780627,0.0,0.0,0.0,0.0,6.843270975387631e-08,0.0,236.0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,229.0596831859202,7212.573133866567,0.0,0.0,0.0,0.0,1.1282646368198494e-07,0.0,231.0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,220.3760607479064,6208.038410905718,0.0,0.0,0.0,0.0,1.3780655359039253e-07,0.0,229.0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,229.03661094282555,6168.716142858287,0.0,0.0,0.0,0.0,1.6831730413430383e-07,0.0,227.0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,222.75358472690618,7088.187008735435,0.0,0.0,0.0,0.0,2.0558321874959877e-07,0.0,225.0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,214.9633665216267,5062.906944721215,0.0,0.0,0.0,0.0,2.510999092692816e-07,0.0,223.0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,209.4630162006047,6601.575250645399,0.0,0.0,0.0,0.0,3.3894942113102103e-07,0.0,220.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,211.65689798591006,5141.656200571199,0.0,0.0,0.0,0.0,5.588331080223807e-07,0.0,215.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,212.52619789506048,6716.599429668835,0.0,0.0,0.0,0.0,6.825602910446287e-07,0.0,213.0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,212.64880540542813,6150.871896585897,0.0,0.0,0.0,0.0,9.21359998566181e-07,0.0,210.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,210.9958767047586,4736.2022526989,0.0,0.0,0.0,0.0,1.2437058689224216e-06,0.0,207.0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,201.12978451293972,4771.765081537536,0.0,0.0,0.0,0.0,1.519065736812855e-06,0.0,205.0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,199.53520279551375,4901.062563183781,0.0,0.0,0.0,0.0,1.8553910183683313e-06,0.0,203.0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,210.3876400896836,6529.276731710787,0.0,0.0,0.0,0.0,2.5045157450675485e-06,0.0,200.0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,197.6526499651784,5418.388625450411,0.0,0.0,0.0,0.0,3.059022269256247e-06,0.0,198.0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,196.86339938951235,7385.06751449967,0.0,0.0,0.05732417589886871,0.0,3.736297983892476e-06,0.0,196.0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,193.2668139170102,5822.156585265284,0.0,0.0,0.0,0.0,5.043474082014516e-06,0.0,193.0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,184.05742050667715,5479.4611866361965,0.0,0.0,0.0,0.0,6.807976709118488e-06,0.0,190.0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,195.2993109632699,5235.809732399286,0.0,0.0,0.0,0.0,9.189805133719968e-06,0.0,187.0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,185.6140332590185,7081.275504897538,0.0,0.0,0.0,0.0,1.1224451053499136e-05,0.0,185.0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,183.17145911656297,4848.524662040247,0.0,0.0,0.0,0.0,1.3709572068578447e-05,0.0,183.0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,184.33032408633372,4315.888571575122,0.0,0.0,0.0,0.0,1.6744904055114527e-05,0.0,181.0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,174.65979230433362,6611.272299969481,0.0,0.0,0.0,0.0,2.0452264415637335e-05,0.0,179.0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,176.40151168037565,6111.497268660904,0.0,0.0,0.0,0.0,2.4980440856267932e-05,0.0,177.0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,186.17279589700615,6590.01418968019,0.0,0.0,0.0,0.0,3.372003863690781e-05,0.0,174.0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,176.458827764318,5181.543955296277,0.0,0.0,0.0,0.0,4.1185717448326286e-05,0.0,172.0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,171.5373051068835,7339.022238173556,0.0,0.0,0.0,0.0,5.0304303017551214e-05,0.0,170.0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,170.2485503441177,7336.624155781315,0.0,0.0,0.0,0.0,6.144174602214718e-05,0.0,168.0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,161.29357132084684,5550.848643701271,0.0,0.0,0.0,0.0,8.293750373891589e-05,0.0,165.0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,159.28064868392084,5613.523417140386,0.0,0.0,0.0,0.0,0.00013674009084599712,0.0,160.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,158.4122195836011,4410.79608564007,0.0,0.0,0.0,0.0,0.0001670142184809518,0.0,158.0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,160.23488420305017,6828.408712210095,0.0,0.0,0.0,0.0,0.0002039908727992137,0.0,156.0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,150.07187881196256,6196.3726301853885,0.0,0.0,0.0,0.0,0.0003363196403867117,0.0,151.0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,152.7300382912364,6520.208000917424,0.0,0.0,0.0,0.0,0.00045397868702434395,0.0,148.0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,154.293824210829,5172.318144870235,0.0,0.0,0.0,0.0,0.0006127973961660237,0.0,145.0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,142.3609534821325,6848.326409633855,0.0,0.0,0.0,0.0,0.0007484622751061125,0.0,143.0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,0.0,5584.955867943743,0.0,0.0,0.0,0.0,0.0009141587385216144,216.0,141.0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,135.47143786479856,5525.747318399087,0.0,0.0,0.0,0.0,0.0011165334062956276,0.0,139.0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,129.7072488339768,5023.0610778981845,0.0,0.0,0.0,0.0,0.0013637032707949702,0.0,137.0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,129.77618998258052,6252.491946954015,0.0,0.0,0.0,0.0,0.00184071904963424,0.0,134.0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,133.23517780432033,6707.834386165318,0.0,0.0,0.0,0.0,0.0022481677023329528,0.0,132.0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,132.01268616672382,6721.919193228914,0.0,0.0,0.0,0.0,0.0027457815610133244,0.0,130.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,125.98343116332937,6955.171975782444,0.0,0.0,0.08317269649392058,0.0,0.0033535013046647813,0.0,128.0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,122.11388621266345,7026.318577410739,0.0,0.0,0.0,0.0,0.004095671649860501,0.0,126.0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,126.44191577065293,5317.019902494581,0.0,0.0,0.0,0.0,0.005002011070795639,0.0,124.0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,114.6846647599668,5260.28273917075,0.0,0.0,0.0,0.0,0.00610879359434401,0.0,122.0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,114.16652686907698,8419.939550518684,0.0,0.0,0.1192029220221127,0.0,0.00746028833836697,0.0,120.0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,123.17631080070385,6880.559150259685,0.0,0.0,0.0,0.0,0.009110511944006455,0.0,118.0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,112.12285916461786,6414.9437030711415,0.0,0.0,0.0,0.0,0.011125360328603204,0.0,116.0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,118.60051985738677,5599.75276934215,0.0,0.0,0.0,0.0,0.013585199504289582,0.0,114.0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,104.363332373226,6339.765390870739,0.0,0.0,0.0,0.0,0.016588010801744213,0.0,112.0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,123.85105645937625,5038.580545606917,0.0,0.0,0.0,0.0,0.020253203890498818,0.0,110.0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,99.32059478799773,6518.930419904966,0.0,0.0,0.0,0.0,0.024726231566347744,0.0,108.0
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,103.61705046501274,7427.5627911272295,0.0,0.0,0.0,0.0,0.03334807307413344,0.0,105.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,101.21794987774369,7598.151272217154,0.0,0.0,0.11920292202212465,0.0,0.044962731609411784,0.0,102.0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,96.97427936713096,5106.501778777529,0.0,0.0,0.0,0.0,0.05486298899450404,0.0,100.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,100.52707702982514,6795.683788735201,0.0,0.0,0.0,0.0,0.07391541344281971,0.0,97.0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,87.40173084590057,7510.93018817799,0.0,0.0,0.06913842034334237,0.0,0.12128434984274238,0.0,92.0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,85.57658936675611,7495.902903318319,0.0,0.0,0.0,0.0,0.14774031693273054,0.0,90.0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,86.91852722186785,7409.383441638455,0.0,0.0,0.08317269649392058,0.0,0.24127021417669198,0.0,85.0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,86.19901506441217,5712.158954487593,0.0,0.0,0.0,0.0,0.29312230751356316,0.0,83.0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,77.75184300996857,5691.393027047366,0.0,0.0,0.0,0.0,0.35571189272636167,0.0,81.0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,72.55519357806962,5250.606633797693,0.0,0.0,0.0,0.0,0.43107254941086115,0.0,79.0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,69.22896413653801,7440.705120394745,0.0,0.0,0.0,0.0,0.5732417589886872,0.0,76.0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,73.04685503626392,6176.203605349342,0.0,0.0,0.0,0.0,0.9112296101485612,0.0,71.0
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,66.68650314092037,5323.61724706712,0.0,0.0,0.0,0.0,1.1920292202211755,0.0,68.0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,65.26973457137697,6093.977653629385,0.0,0.0,0.0,0.0,1.4185106490048778,0.0,66.0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,61.08336890083925,6361.882203152011,0.0,0.0,0.0,0.0,2.141650169574414,0.0,61.0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,57.23354568878925,6931.61003088052,0.0,0.0,0.05732417589886871,0.0,2.4973989440488236,0.0,59.0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,45.078561167859306,6154.662751721228,0.0,0.0,0.0,0.0,3.1002551887238754,0.0,56.0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,47.69108445352955,6358.52069901267,0.0,0.0,0.0,0.0,3.5434369377420456,0.0,54.0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,56.00202471815499,5760.508065426342,0.0,0.0,0.0,0.0,4.01312339887548,0.0,52.0
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,46.64831994050654,6800.919776491184,0.0,0.0,0.0,0.0,4.7502081252106,0.0,49.0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,47.397909930913436,5230.751768227006,0.0,0.0,0.0,0.0,5.4983399731247795,0.0,46.0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,34.24606762770008,5792.426646786813,0.0,0.0,0.0,0.0,5.98687660112452,0.0,44.0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,34.89134540991086,4119.9474377707265,0.0,0.0,0.0,0.0,6.456563062257954,0.0,42.0
